date,open,high,low,close,adjusted_close,volume
2022-01-19,1.8763,1.8998,1.8263,1.8693,1.8693,0
2022-01-20,1.8693,1.8693,1.8068,1.8104,1.8104,0
2022-01-21,1.8104,1.8104,1.7352,1.7627,1.7627,0
2022-01-24,1.7627,1.7841,1.7105,1.7708,1.7708,0
2022-01-25,1.7708,1.794,1.7327,1.7762,1.7762,0
2022-01-26,1.7762,1.8774,1.7683,1.8693,1.8693,0
2022-01-27,1.8693,1.8693,1.7835,1.804,1.804,0
2022-01-28,1.804,1.85,1.7705,1.7714,1.7714,0
2022-01-31,1.7714,1.8116,1.7697,1.7813,1.7813,0
2022-02-01,1.7813,1.8207,1.7404,1.7921,1.7921,0
2022-02-02,1.7921,1.811,1.745,1.7788,1.7788,0
2022-02-03,1.7788,1.8487,1.7584,1.8389,1.8389,0
2022-02-04,1.8389,1.9385,1.8105,1.9131,1.9131,0
2022-02-07,1.9131,1.9405,1.8943,1.9205,1.9205,0
2022-02-08,1.9205,1.9706,1.9205,1.9642,1.9642,0
2022-02-09,1.9642,1.9642,1.909,1.9471,1.9471,0
2022-02-10,1.9471,2.0572,1.9215,2.0327,2.0327,0
2022-02-11,2.0327,2.0643,1.9129,1.9432,1.9432,0
2022-02-14,1.9432,2.0285,1.906,1.9884,1.9884,0
2022-02-15,1.9884,2.0565,1.9701,2.0478,2.0478,0
2022-02-16,2.0478,2.0653,2.005,2.0417,2.0417,0
2022-02-17,2.0417,2.0417,1.9589,1.9641,1.9641,0
2022-02-18,1.9641,1.9946,1.9208,1.9277,1.9277,0
2022-02-21,1.9277,1.9277,1.9277,1.9277,1.9277,0
2022-02-22,1.9277,1.9616,1.8491,1.9442,1.9442,0
2022-02-23,1.9442,1.9991,1.9425,1.9973,1.9973,0
2022-02-24,1.9973,1.9973,1.8474,1.9712,1.9712,0
2022-02-25,1.9712,2.0175,1.9347,1.9686,1.9686,0
2022-02-28,1.9686,1.9686,1.8224,1.8276,1.8276,0
2022-03-01,1.8276,1.8672,1.6825,1.725,1.725,0
2022-03-02,1.725,1.8931,1.7037,1.8776,1.8776,0
2022-03-03,1.8776,1.8949,1.8301,1.8448,1.8448,0
2022-03-04,1.8448,1.8508,1.6992,1.7324,1.7324,0
2022-03-07,1.7324,1.8043,1.678,1.7725,1.7725,0
